company_id,status,exchange,ticker,symbol,stored_name,gurufocus_name,detail,gurufocus_url
1,RESTRICTED,ASX,COH,ASX:COH,Cochlear,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:COH/summary
2,RESTRICTED,ASX,CPU,ASX:CPU,Computershare,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:CPU/summary
3,RESTRICTED,ASX,CSL,ASX:CSL,CSL,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:CSL/summary
4,RESTRICTED,ASX,KPG,ASX:KPG,Kelly Partners,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:KPG/summary
5,RESTRICTED,ASX,OCL,ASX:OCL,Objective Corporation,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:OCL/summary
6,RESTRICTED,ASX,PME,ASX:PME,Pro Medicus,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:PME/summary
7,RESTRICTED,ASX,REA,ASX:REA,REA Group,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:REA/summary
8,RESTRICTED,ASX,TNE,ASX:TNE,TechnologyOne,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:TNE/summary
9,RESTRICTED,ASX,WTC,ASX:WTC,WiseTech Global,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/ASX:WTC/summary
10,OK,XPRA,ANDR,XPRA:ANDR,Andritz AG,Andritz AG,name matches,https://www.gurufocus.com/stock/XPRA:ANDR/summary
11,OK,XBRU,ARGX,XBRU:ARGX,argenx SE,argenx SE,name matches,https://www.gurufocus.com/stock/XBRU:ARGX/summary
12,OK,XBRU,DIE,XBRU:DIE,D'Ieteren Group,D'Ieteren Group,name matches,https://www.gurufocus.com/stock/XBRU:DIE/summary
13,OK,XBRU,EVS,XBRU:EVS,EVS Broadcast Equipment SA,EVS Broadcast Equipment SA,name matches,https://www.gurufocus.com/stock/XBRU:EVS/summary
14,OK,XBRU,LOTB,XBRU:LOTB,Lotus Bakeries NV,Lotus Bakeries NV,name matches,https://www.gurufocus.com/stock/XBRU:LOTB/summary
15,OK,XBRU,MOUR,XBRU:MOUR,Moury Construct SA,Moury Construct SA,name matches,https://www.gurufocus.com/stock/XBRU:MOUR/summary
16,RESTRICTED,TSX,ATD,TSX:ATD,Alimentation Couche-Tard,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:ATD/summary
17,RESTRICTED,TSX,BAM,TSX:BAM,Brookfield Asset Management,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:BAM/summary
18,RESTRICTED,TSX,BN,TSX:BN,Brookfield Corp,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:BN/summary
19,RESTRICTED,TSX,CNR,TSX:CNR,Canadian National Railway,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:CNR/summary
20,RESTRICTED,TSX,CP,TSX:CP,Canadian Pacific Kansas Railway,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:CP/summary
21,NOT_FOUND,TSX,CLA,TSX:CLA,Celestica,,404 stock not found,https://www.gurufocus.com/stock/TSX:CLA/summary
22,RESTRICTED,TSX,GIB.A,TSX:GIB.A,CGI Group,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:GIB.A/summary
23,RESTRICTED,TSX,CSU,TSX:CSU,Constellation Software,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:CSU/summary
24,RESTRICTED,TSX,DSG,TSX:DSG,Descartes Systems,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:DSG/summary
25,RESTRICTED,TSX,DOL,TSX:DOL,Dollarama,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:DOL/summary
26,RESTRICTED,TSX,FFH,TSX:FFH,Fairfax Financial Holdings,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:FFH/summary
27,RESTRICTED,TSXV,LMN,TSXV:LMN,Lumine,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSXV:LMN/summary
28,RESTRICTED,TSXV,CTZ,TSXV:CTZ,Namsys,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSXV:CTZ/summary
29,RESTRICTED,TSX,TVK,TSX:TVK,TerraVest Industries,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:TVK/summary
30,RESTRICTED,TSX,TFII,TSX:TFII,TFI International,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:TFII/summary
31,RESTRICTED,TSX,TRI,TSX:TRI,Thomson Reuters,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:TRI/summary
32,RESTRICTED,TSX,TIH,TSX:TIH,Toromont Industries,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:TIH/summary
33,RESTRICTED,TSX,WCN,TSX:WCN,Waste Connections,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/TSX:WCN/summary
34,OK,HKSE,02020,HKSE:02020,ANTA Sports Products Ltd,ANTA Sports Products Ltd,name matches,https://www.gurufocus.com/stock/HKSE:02020/summary
35,OK,HKSE,01093,HKSE:01093,CSPC Pharmaceutical Group Ltd,CSPC Pharmaceutical Group Ltd,name matches,https://www.gurufocus.com/stock/HKSE:01093/summary
36,OK,HKSE,00388,HKSE:00388,Hong Kong Exchanges and Clearing Ltd,Hong Kong Exchanges and Clearing Ltd,name matches,https://www.gurufocus.com/stock/HKSE:00388/summary
37,OK,HKSE,02331,HKSE:02331,Li Ning Co Ltd,Li Ning Co Ltd,name matches,https://www.gurufocus.com/stock/HKSE:02331/summary
38,OK,HKSE,09999,HKSE:09999,NetEase Inc,NetEase Inc,name matches,https://www.gurufocus.com/stock/HKSE:09999/summary
39,OK,HKSE,00700,HKSE:00700,Tencent Holdings Ltd,Tencent Holdings Ltd,name matches,https://www.gurufocus.com/stock/HKSE:00700/summary
40,OK,OCSE,AMBU B,OCSE:AMBU B,Ambu AS,Ambu AS,name matches,https://www.gurufocus.com/stock/OCSE:AMBU B/summary
41,OK,OCSE,CBRAIN,OCSE:CBRAIN,cBrain A/S,cBrain AS,name matches,https://www.gurufocus.com/stock/OCSE:CBRAIN/summary
42,OK,OCSE,CHEMM,OCSE:CHEMM,ChemoMetec AS,ChemoMetec AS,name matches,https://www.gurufocus.com/stock/OCSE:CHEMM/summary
43,OK,OCSE,DEMANT,OCSE:DEMANT,Demant AS,Demant AS,name matches,https://www.gurufocus.com/stock/OCSE:DEMANT/summary
44,OK,OCSE,DSV,OCSE:DSV,DSV AS,DSV AS,name matches,https://www.gurufocus.com/stock/OCSE:DSV/summary
45,OK,OCSE,GMAB,OCSE:GMAB,Genmab AS,Genmab AS,name matches,https://www.gurufocus.com/stock/OCSE:GMAB/summary
46,OK,OCSE,NOVO B,OCSE:NOVO B,Novo Nordisk AS,Novo Nordisk AS,name matches,https://www.gurufocus.com/stock/OCSE:NOVO B/summary
47,OK,OCSE,NSIS B,OCSE:NSIS B,Novonesis (Novozymes) B,Novonesis (Novozymes) B,name matches,https://www.gurufocus.com/stock/OCSE:NSIS B/summary
48,OK,OHEL,KNEBV,OHEL:KNEBV,KONE Oyj,KONE Oyj,name matches,https://www.gurufocus.com/stock/OHEL:KNEBV/summary
49,OK,OHEL,MEKKO,OHEL:MEKKO,Marimekko Oyj,Marimekko Oyj,name matches,https://www.gurufocus.com/stock/OHEL:MEKKO/summary
50,OK,OHEL,ORNBV,OHEL:ORNBV,Orion Oyj,Orion Oyj,name matches,https://www.gurufocus.com/stock/OHEL:ORNBV/summary
51,OK,OHEL,REG1V,OHEL:REG1V,Revenio Group Oyj,Revenio Group Oyj,name matches,https://www.gurufocus.com/stock/OHEL:REG1V/summary
52,OK,XPAR,AI,XPAR:AI,Air Liquide SA,Air Liquide SA,name matches,https://www.gurufocus.com/stock/XPAR:AI/summary
53,OK,XPAR,DSY,XPAR:DSY,Dassault Systemes SE,Dassault Systemes SE,name matches,https://www.gurufocus.com/stock/XPAR:DSY/summary
54,OK,XPAR,EDEN,XPAR:EDEN,Edenred SE,Edenred SE,name matches,https://www.gurufocus.com/stock/XPAR:EDEN/summary
55,OK,XPAR,EL,XPAR:EL,EssilorLuxottica,Essilorluxottica,name matches,https://www.gurufocus.com/stock/XPAR:EL/summary
56,OK,XPAR,ERF,XPAR:ERF,Eurofins Scientific SE,Eurofins Scientific SE,name matches,https://www.gurufocus.com/stock/XPAR:ERF/summary
57,OK,XPAR,ENX,XPAR:ENX,Euronext NV,Euronext NV,name matches,https://www.gurufocus.com/stock/XPAR:ENX/summary
58,OK,XPAR,GTT,XPAR:GTT,Gaztransport et technigaz SA,Gaztransport et technigaz SA,name matches,https://www.gurufocus.com/stock/XPAR:GTT/summary
59,OK,XPAR,RMS,XPAR:RMS,Hermes International SA,Hermes International SA,name matches,https://www.gurufocus.com/stock/XPAR:RMS/summary
60,OK,XPAR,ITP,XPAR:ITP,Interparfums,Interparfums,name matches,https://www.gurufocus.com/stock/XPAR:ITP/summary
61,OK,XPAR,OR,XPAR:OR,L'Oreal SA,L'Oreal SA,name matches,https://www.gurufocus.com/stock/XPAR:OR/summary
62,OK,XPAR,LR,XPAR:LR,Legrand SA,Legrand SA,name matches,https://www.gurufocus.com/stock/XPAR:LR/summary
63,OK,XPAR,MC,XPAR:MC,Lvmh Moet Hennessy Louis Vuitton SE,Lvmh Moet Hennessy Louis Vuitton SE,name matches,https://www.gurufocus.com/stock/XPAR:MC/summary
64,OK,XPAR,NRO,XPAR:NRO,Neurones,Neurones,name matches,https://www.gurufocus.com/stock/XPAR:NRO/summary
65,OK,XPAR,RBT,XPAR:RBT,Robertet SA,Robertet SA,name matches,https://www.gurufocus.com/stock/XPAR:RBT/summary
66,OK,XPAR,SAF,XPAR:SAF,Safran SA,Safran SA,name matches,https://www.gurufocus.com/stock/XPAR:SAF/summary
67,OK,XPAR,SAN,XPAR:SAN,Sanofi SA,Sanofi SA,name matches,https://www.gurufocus.com/stock/XPAR:SAN/summary
68,OK,XPAR,DIM,XPAR:DIM,Sartorius Stedim Biotech SA,Sartorius Stedim Biotech SA,name matches,https://www.gurufocus.com/stock/XPAR:DIM/summary
69,OK,XPAR,SU,XPAR:SU,Schneider Electric SE,Schneider Electric SE,name matches,https://www.gurufocus.com/stock/XPAR:SU/summary
70,OK,XPAR,DG,XPAR:DG,Vinci SA,Vinci SA,name matches,https://www.gurufocus.com/stock/XPAR:DG/summary
71,OK,XTER,AAD,XTER:AAD,Amadeus Fire AG,Amadeus Fire AG,name matches,https://www.gurufocus.com/stock/XTER:AAD/summary
72,OK,XTER,AOF,XTER:AOF,ATOSS Software SE,ATOSS Software SE,name matches,https://www.gurufocus.com/stock/XTER:AOF/summary
73,OK,XTER,BC8,XTER:BC8,Bechtle AG,Bechtle AG,name matches,https://www.gurufocus.com/stock/XTER:BC8/summary
74,OK,XTER,AFX,XTER:AFX,Carl Zeiss Meditec AG,Carl Zeiss Meditec AG,name matches,https://www.gurufocus.com/stock/XTER:AFX/summary
75,OK,XTER,EVD,XTER:EVD,CTS Eventim AG & Co. KGaA,CTS Eventim AG & Co. KGaA,name matches,https://www.gurufocus.com/stock/XTER:EVD/summary
76,OK,XTER,DB1,XTER:DB1,Deutsche Boerse AG,Deutsche Boerse AG,name matches,https://www.gurufocus.com/stock/XTER:DB1/summary
77,OK,XTER,MUM,XTER:MUM,Mensch und Maschine Software SE,Mensch und Maschine Software SE,name matches,https://www.gurufocus.com/stock/XTER:MUM/summary
78,OK,XTER,NEM,XTER:NEM,Nemetschek SE,Nemetschek SE,name matches,https://www.gurufocus.com/stock/XTER:NEM/summary
79,OK,XTER,RAA,XTER:RAA,Rational AG,Rational AG,name matches,https://www.gurufocus.com/stock/XTER:RAA/summary
80,OK,XTER,SAP,XTER:SAP,SAP SE,SAP SE,name matches,https://www.gurufocus.com/stock/XTER:SAP/summary
81,OK,XTER,SRT3,XTER:SRT3,Sartorius AG,Sartorius AG,name matches,https://www.gurufocus.com/stock/XTER:SRT3/summary
82,OK,XTER,SY1,XTER:SY1,Symrise AG,Symrise AG,name matches,https://www.gurufocus.com/stock/XTER:SY1/summary
83,RESTRICTED,NSE,INFY,NSE:INFY,Infosys,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/NSE:INFY/summary
84,OK,NYSE,ACN,ACN,Accenture PLC,Accenture PLC,name matches,https://www.gurufocus.com/stock/ACN/summary
